Time (seconds),Conductivity (mS),Measured distance (cm),Flowrate (mL/min),Permeate mass (g)
222.5466570854187,13.27416830504967,21,447.94921875,694.7
223.53891682624817,12.840657013141556,21,480.17578125,695.1
224.5482587814331,13.27416830504967,21,438.28125,695.6
225.54529643058777,12.773962968232617,22,441.50390625,695.9
226.53809785842896,13.2408212825952,22,480.17578125,696.2
227.54924607276917,13.207474260140728,21,496.2890625,696.7
228.55726528167725,13.2408212825952,21,499.51171875,697.1
229.54464054107666,13.34086234995861,21,502.734375,697.5
230.53819823265076,13.27416830504967,21,505.95703125,697.8
231.54688262939453,13.27416830504967,22,493.06640625,698.2
232.54015111923218,11.37338802514487,22,496.2890625,698.7
233.5485074520111,13.17412723768626,22,496.2890625,699.0
234.54200720787048,12.840657013141556,22,493.06640625,699.4
235.55007576942444,13.17412723768626,21,480.17578125,699.8
236.54386162757874,13.44090341732202,22,489.84375,700.2
237.55283617973328,13.107433192777318,22,493.06640625,700.6
238.55216097831726,13.54094448468543,21,499.51171875,701.0
239.56017088890076,12.540533811051326,22,496.2890625,701.3
240.55445504188538,13.44090341732202,15,496.2890625,701.8
241.5406732559204,13.307515327504138,21,496.2890625,702.2
242.5550765991211,13.2408212825952,21,493.06640625,702.6
243.54348492622375,13.941108754139073,22,496.2890625,702.9
244.551771402359,14.174537911320364,21,493.06640625,703.3
245.5454442501068,13.67433257450331,22,496.2890625,703.8
246.55345058441162,13.44090341732202,21,499.51171875,704.1
247.5481662750244,13.607638529594372,21,493.06640625,704.5
248.55548977851868,12.707268923323674,21,489.84375,704.9
249.54895663261414,13.307515327504138,21,489.84375,705.3
250.563223361969,13.47425043977649,21,493.06640625,705.8
251.55461978912354,13.54094448468543,21,502.734375,706.0
252.54853057861328,13.67433257450331,21,499.51171875,706.5
253.5565857887268,11.740205272144038,21,499.51171875,706.9
254.5648910999298,13.640985552048843,21,489.84375,707.3
255.5548722743988,13.607638529594372,21,493.06640625,707.6
256.54698419570923,13.507597462230962,21,499.51171875,708.0
257.5581395626068,13.14078021523179,21,496.2890625,708.4
258.55488300323486,13.37420937241308,21,499.51171875,708.9
259.56324315071106,12.974045102959437,21,499.51171875,709.2
260.55679082870483,13.807720664321192,21,489.84375,709.5
261.5638654232025,13.407556394867552,21,496.2890625,710.0
262.55914068222046,13.874414709230134,21,499.51171875,710.4
263.56606793403625,13.14078021523179,21,493.06640625,710.8
264.55905413627625,11.57347015987169,21,493.06640625,711.1
265.5546989440918,13.507597462230962,21,499.51171875,711.5
266.5619010925293,13.407556394867552,21,499.51171875,711.9
267.5694420337677,13.807720664321192,21,496.2890625,712.3
268.5646710395813,13.34086234995861,21,499.51171875,712.7
269.55259013175964,13.54094448468543,21,489.84375,713.1
270.5610134601593,13.507597462230962,21,496.2890625,713.5
271.55358028411865,13.47425043977649,21,486.62109375,713.9
272.56247663497925,13.54094448468543,21,496.2890625,714.2
273.5557281970978,13.5742915071399,21,489.84375,714.6
274.56450867652893,13.54094448468543,21,493.06640625,715.0
275.56275057792664,13.47425043977649,21,499.51171875,715.4
276.5725426673889,13.54094448468543,21,499.51171875,715.8
277.56459379196167,13.44090341732202,21,505.95703125,716.2
278.5712990760803,13.874414709230134,22,496.2890625,716.5
279.5689299106598,13.47425043977649,21,489.84375,717.0
280.5773546695709,13.37420937241308,21,502.734375,717.3
281.56316924095154,13.607638529594372,21,499.51171875,717.8
282.55589962005615,13.407556394867552,21,493.06640625,718.1
283.5703649520874,13.17412723768626,22,496.2890625,718.5
284.5616841316223,13.47425043977649,21,499.51171875,718.9
285.57085728645325,13.34086234995861,22,496.2890625,719.3
286.56439876556396,13.807720664321192,22,499.51171875,719.6
287.57215332984924,13.2408212825952,21,499.51171875,720.1
288.56549096107483,14.708090270591889,22,496.2890625,720.5
289.56968116760254,13.307515327504138,21,502.734375,720.9
290.56403636932373,13.407556394867552,21,502.734375,721.2
291.57170367240906,13.207474260140728,20,499.51171875,721.6
292.57354402542114,13.54094448468543,21,489.84375,722.0
293.5775158405304,13.37420937241308,22,499.51171875,722.4
294.56794142723083,13.54094448468543,21,493.06640625,722.7
295.56034660339355,13.54094448468543,21,483.3984375,723.1
