Time (seconds),Conductivity (mS/cm),Measured distance (cm),Flowrate (mL/min),Permeate mass (g),Stage number
920.0125067234039,14.107843866411425,24.398338794708252,534.9609375,1158.8,1
921.0096156597137,12.974045102959437,24.022161960601807,531.73828125,1159.1,1
922.006016254425,12.373798698778973,24.492383003234863,528.5156249999999,1159.4,1
923.0148975849152,12.607227855960264,22.995853424072266,531.73828125,1159.7,1
924.0080118179321,12.874004035596027,23.59691858291626,534.9609375,1160.0,1
925.0216386318207,12.807309990687088,24.022161960601807,531.73828125,1160.2,1
926.0096926689148,12.907351058050498,24.48420524597168,541.40625,1160.5,1
927.0268640518188,13.741026619412253,24.85220432281494,528.5156249999999,1160.8,1
928.0117495059967,13.007392125413908,23.588740825653076,528.5156249999999,1161.0,1
929.0179047584534,12.940698080504966,24.451494216918945,528.5156249999999,1161.4,1
930.0139191150665,9.806077969784766,24.001717567443848,509.1796875,1161.7,1
931.0242657661438,13.04073914786838,24.00580644607544,551.07421875,1161.9,1
932.0142350196838,11.473429092508276,24.013984203338623,534.9609375,1162.2,1
933.0083520412445,13.007392125413908,23.973095417022705,557.51953125,1162.5,1
934.0173420906067,13.007392125413908,24.00989532470703,528.5156249999999,1162.8,1
935.0104565620422,12.840657013141556,23.96082878112793,534.9609375,1163.1,1
936.0149018764496,13.007392125413908,23.564207553863525,534.9609375,1163.3,1
937.0084443092346,13.47425043977649,25.138425827026367,528.5156249999999,1163.6,1
938.0209736824036,12.307104653870034,24.50873851776123,541.40625,1163.8,1
939.0143699645996,12.707268923323674,23.682785034179688,531.73828125,1164.2,1
940.0212490558624,13.04073914786838,24.046695232391357,509.1796875,1164.5,1
941.0143988132477,12.974045102959437,24.034428596496582,525.29296875,1164.7,1
942.022971868515,13.04073914786838,24.48829412460327,531.73828125,1165.1,1
943.0181143283844,13.307515327504138,24.087584018707275,534.9609375,1165.3,1
944.0253853797913,13.27416830504967,24.53327178955078,531.73828125,1165.6,1
945.0194139480591,13.2408212825952,24.013984203338623,525.29296875,1165.9,1
946.024688243866,13.47425043977649,24.038517475128174,534.9609375,1166.2,1
947.0178956985474,13.307515327504138,24.53327178955078,534.9609375,1166.5,1
948.01486992836,13.107433192777318,23.654162883758545,534.9609375,1166.7,1
949.0248966217041,13.107433192777318,24.079406261444092,518.84765625,1167.0,1
950.0271601676941,13.14078021523179,24.43922758102417,525.29296875,1167.3,1
951.02920794487,13.34086234995861,24.058961868286133,544.6289062499999,1167.6,1
952.0252118110657,13.54094448468543,24.0753173828125,534.9609375,1167.9,1
953.026193857193,13.107433192777318,23.8258957862854,531.73828125,1168.2,1
954.0238747596741,14.174537911320364,24.09576177597046,534.9609375,1168.4,1
955.0292353630066,13.640985552048843,24.091672897338867,528.5156249999999,1168.7,1
956.030784368515,14.341273023592716,24.521005153656006,525.29296875,1169.0,1
957.0295081138611,13.17412723768626,24.063050746917725,534.9609375,1169.3,1
958.0232770442963,13.14078021523179,24.067139625549316,525.29296875,1169.5,1
959.0293705463409,13.17412723768626,25.003492832183838,531.73828125,1169.8,1
960.0361649990082,12.540533811051326,24.0753173828125,531.73828125,1170.1,1
961.0271687507629,13.107433192777318,24.103939533233643,592.9687499999999,1170.3,1
962.0275444984436,13.04073914786838,23.625540733337402,531.73828125,1170.7,1
963.0172176361084,13.14078021523179,24.067139625549316,531.73828125,1170.9,1
964.0262579917908,13.17412723768626,24.0753173828125,531.73828125,1171.2,1
965.0190885066986,13.54094448468543,24.512827396392822,528.5156249999999,1171.5,1
966.0280368328094,12.640574878414736,24.561893939971924,538.18359375,1171.8,1
967.0210890769958,13.307515327504138,23.68687391281128,534.9609375,1172.0,1
