Time (seconds),Conductivity (mS/cm),Measured distance (cm),Flowrate (mL/min),Permeate mass (g),Stage number
155.1503499,7.805256623,21.73238993,451.171875,35.5,1
156.1583519,7.738562578,21.6996789,476.953125,35.8,1
157.1563349,8.772320274,21.77736759,473.7304688,36.1,1
158.1484077,7.805256623,22.11265564,464.0625,36.5,1
159.1535065,7.838603645,21.67514563,454.3945313,36.8,1
160.1506104,7.738562578,21.72012329,438.28125,37.1,1
161.1595552,7.738562578,21.72830105,444.7265625,37.5,1
162.1565211,7.7719096,21.79781199,396.3867188,37.9,1
163.1434,7.7719096,21.71603441,441.5039063,38.1,1
164.1507881,7.7719096,22.10856676,454.3945313,38.5,1
165.1485345,7.671868533,21.70376778,470.5078125,38.9,1
166.1575267,7.805256623,21.6792345,544.6289062,39.1,1
167.1510797,7.738562578,21.6996789,444.7265625,39.5,1
168.1564789,7.605174488,21.65879011,444.7265625,39.9,1
169.1596889,7.738562578,21.6996789,476.953125,40.3,1
170.1750221,7.50513342,21.76510096,454.3945313,40.5,1
171.1550653,7.805256623,21.71603441,483.3984375,40.9,1
172.1607435,7.50513342,22.11265564,483.3984375,41.3,1
173.1545854,7.971991735,22.19443321,476.953125,41.5,1
174.1493847,7.805256623,22.19034433,454.3945313,41.9,1
175.1529069,-5,22.19852209,457.6171875,42.3,1
176.1463897,7.838603645,21.71603441,444.7265625,42.6,1
177.1541131,7.938644712,21.72830105,480.1757813,42.9,1
178.1514034,8.238767914,22.14536667,431.8359375,43.3,1
179.1594853,7.438439376,21.77327871,409.2773438,43.6,1
180.156498,7.7719096,21.73647881,460.8398438,43.9,1
181.157788,7.838603645,22.19034433,454.3945313,44.3,1
182.1509192,8.605585161,22.19852209,438.28125,44.6,1
183.1596308,7.271704263,21.68332338,435.0585938,44.9,1
184.1606698,8.238767914,24.53327179,447.9492188,45.3,1
185.1675372,7.305051286,22.14945555,451.171875,45.6,1
186.1601987,8.005338757,21.6792345,415.7226563,45.9,1
187.1690788,7.805256623,22.17398882,415.7226563,46.4,1
188.160548,8.005338757,21.72421217,393.1640625,46.7,1
189.1541445,7.471786398,22.21896648,428.6132813,46.9,1
190.1692002,7.571827465,21.73647881,438.28125,47.4,1
191.1557007,7.90529769,22.23123312,422.1679688,47.6,1
192.1631889,7.838603645,21.76918983,444.7265625,48,1
193.1572034,7.871950667,22.16581106,435.0585938,48.4,1
194.1644115,7.871950667,22.12901115,454.3945313,48.7,1
195.1593804,7.838603645,21.74056768,444.7265625,49,1
196.1799958,6.037864432,22.19852209,435.0585938,49.4,1
197.1596236,7.871950667,22.18625546,438.28125,49.7,1
198.1658885,7.938644712,21.78963423,438.28125,50.1,1
199.1624599,8.705626229,22.22305536,444.7265625,50.4,1
200.1706958,7.671868533,21.78963423,451.171875,50.7,1
201.1738207,7.838603645,21.83461189,428.6132813,51.1,1
202.1542177,7.90529769,21.77736759,512.4023437,51.4,1
203.1754873,7.705215555,21.76101208,522.0703125,51.7,1
204.1720388,7.705215555,21.76510096,518.8476563,52.2,1
205.1731968,7.90529769,21.8141675,515.625,52.4,1
206.1582351,7.371745331,21.76510096,528.515625,52.8,1
207.1693892,8.205420892,21.75283432,528.515625,53.1,1
208.1634471,7.90529769,21.77736759,422.1679688,53.4,1
209.1722546,7.871950667,24.23478365,518.8476563,53.8,1
210.1616313,7.90529769,21.76510096,505.9570313,54.1,1
211.1755545,8.03868578,21.77736759,512.4023437,54.4,1
212.1792758,7.104969151,21.78145647,525.2929688,54.8,1
213.1735263,7.90529769,21.70376778,528.515625,55.1,1
214.1710291,8.105379825,21.74465656,505.9570313,55.4,1
215.162931,7.90529769,21.7569232,525.2929688,55.8,1
216.1812418,8.138726847,21.78963423,522.0703125,56.1,1
217.164731,7.7719096,21.79781199,525.2929688,56.5,1
218.1728544,8.17207387,21.70376778,522.0703125,56.8,1
219.169014,6.771498926,21.77327871,525.2929688,57.1,1
220.1735885,7.338398308,21.72830105,522.0703125,57.5,1
221.1747742,7.805256623,21.8141675,518.8476563,57.7,1
222.1868894,8.17207387,21.70376778,522.0703125,58.1,1
223.1702554,7.938644712,21.78963423,541.40625,58.5,1
224.1814375,7.971991735,21.7569232,534.9609375,58.8,1
225.1715755,7.438439376,20.95141411,528.515625,59.1,1
226.1669717,7.90529769,21.81825638,522.0703125,59.5,1
227.1746864,7.205010218,22.22714424,534.9609375,59.9,1
228.1671782,7.938644712,21.77736759,509.1796875,60.2,1
229.1747174,8.17207387,22.25985527,515.625,60.5,1
230.1751518,7.871950667,21.81825638,518.8476563,60.9,1
231.1766295,7.971991735,21.79781199,531.7382813,61.2,1
232.1704295,7.971991735,21.74874544,522.0703125,61.5,1
233.1767588,8.338808982,22.25167751,518.8476563,61.9,1
234.1763558,8.03868578,22.19852209,534.9609375,62.2,1
235.1876032,7.205010218,22.2925663,528.515625,62.5,1
236.1741526,8.005338757,21.78963423,525.2929688,62.9,1
237.1642301,7.805256623,22.27212191,518.8476563,63.2,1
238.1727118,8.372156004,21.85505629,515.625,63.5,1
239.1683481,7.938644712,21.83870077,522.0703125,63.9,1
240.1769059,8.005338757,21.85096741,518.8476563,64.1,1
241.1704063,7.538480443,21.83052301,525.2929688,64.5,1
242.1749237,7.971991735,21.85505629,522.0703125,64.9,1
243.1715739,8.105379825,21.87550068,509.1796875,65.2,1
244.1802239,8.005338757,22.28029966,518.8476563,65.5,1
245.1729231,7.971991735,21.79781199,525.2929688,65.9,1
246.1945961,7.671868533,22.23123312,518.8476563,66.2,1
247.1759608,8.005338757,21.74056768,525.2929688,66.5,1
248.1842785,8.072032802,21.88367844,525.2929688,66.9,1
249.1750515,8.03868578,21.84687853,518.8476563,67.3,1
250.1686959,8.939055386,21.82234526,525.2929688,67.5,1
251.1784275,7.50513342,21.84278965,525.2929688,67.9,1
252.1748791,8.072032802,22.25985527,525.2929688,68.3,1
253.1845107,8.072032802,21.81825638,525.2929688,68.7,1
254.1796775,8.072032802,21.84687853,522.0703125,68.9,1
255.1833606,8.072032802,21.85096741,534.9609375,69.3,1
256.1763053,8.338808982,21.80190086,518.8476563,69.7,1
257.1834702,8.338808982,21.83052301,512.4023437,69.9,1
258.1749761,7.471786398,21.82234526,496.2890625,70.3,1
259.1883595,7.50513342,21.79781199,512.4023437,70.7,1
260.1835558,8.105379825,21.81007862,557.5195313,70.9,1
261.1866741,7.705215555,21.86323404,518.8476563,71.3,1
262.1832633,8.03868578,21.85914516,528.515625,71.7,1
263.1784899,7.90529769,21.85096741,515.625,71.9,1
264.1938419,8.105379825,21.43390179,464.0625,72.3,1
265.1795967,8.338808982,21.89594507,476.953125,72.7,1
266.1859238,7.738562578,21.89594507,476.953125,72.9,1
267.17559,8.072032802,22.235322,499.5117188,73.3,1
268.1877658,8.372156004,21.85505629,428.6132813,73.7,1
